Project Name,Project Link,Project Scope,Project Description,Project Goal,Project Full Description,Citizen Science Web Name,Citizen Science Web Link
Detección precoz del riesgo de diabetes gestacional,https://ciencia-ciudadana.es/proyecto-cc/deteccion-precoz-del-riesgo-de-diabetes-gestacional/,"Biología, Medicina y Salud","Es un proyecto realizado por el grupo Intervenciones Traslacionales para la Salud (ITS) de la Universidad de Oviedo (Asturias), junto con el Servicio de Ginecología y Obstetricia y el de Nutrición y Endocrinología del Hospital Universitario de Asturias (HUCA)
",El objetivo principal es recaudar fondos para realizar un proyecto de investigación basado en desarrollar una herramienta que midiendo los microRNA de la sangre materna prediga el riesgo de desarrollar diabetes gestacional,"El objetivo principal es recaudar fondos para realizar un proyecto de investigación basado en desarrollar una herramienta que midiendo los microRNA de la sangre materna prediga el riesgo de desarrollar diabetes gestacionalEs un proyecto realizado por el grupo Intervenciones Traslacionales para la Salud (ITS) de la Universidad de Oviedo (Asturias), junto con el Servicio de Ginecología y Obstetricia y el de Nutrición y Endocrinología del Hospital Universitario de Asturias (HUCA)
",Observatorio de la Ciencia Ciudadana en España,https://ciencia-ciudadana.es/proyecto-cc/
Proyecto Ríos,https://ciencia-ciudadana.es/proyecto-cc/proyecto-rios-2/,"Animales, Biodiversidad, Clima y Meteorología, Ecología y Medioambiente, Educación, Gestión de Recursos Naturales, Insectos y Polinizadores, Naturaleza y Aire Libre, Pájaros, Seguimiento de Especies a largo plazo","El Proyecto Ríos es una iniciativa de voluntariado ambiental impulsada por Red Cambera que se desarrolla en Cantabria desde el año 2008. Pretende capacitar a la ciudadanía en el conocimiento, puesta en valor y mejora de los ecosistemas fluviales a través de su estudio y conservación.
",Conocer y conservar los ríos de Cantabria a través de la participación ciudadana.,"Conocer y conservar los ríos de Cantabria a través de la participación ciudadana.El Proyecto Ríos es una iniciativa de voluntariado ambiental impulsada por Red Cambera que se desarrolla en Cantabria desde el año 2008. Pretende capacitar a la ciudadanía en el conocimiento, puesta en valor y mejora de los ecosistemas fluviales a través de su estudio y conservación.
",Observatorio de la Ciencia Ciudadana en España,https://ciencia-ciudadana.es/proyecto-cc/
FLOODUP,https://ciencia-ciudadana.es/proyecto-cc/floodup/,"Clima y Meteorología, Educación, Geografía, Geología y Ciencias de la Tierra, Gestión de Recursos Naturales, Naturaleza y Aire Libre, Océanos, Agua, Marino y Terrestre","FLOODUP es un proyecto de ciencia ciudadana para mejorar el conocimiento sobre el impacto de las inundaciones desarrollado con el apoyo de la Fundación española para la Ciencia y la Tecnología (FECYT- Ministerio de Ciencia e Innovación) en el marco del proyecto AQUELOO (FCT-18-13408), los proyectos PIRAGUA (Interreg POCTEFA-EFA210/16) y AGORA (ACA210/18/00009), impulsado desde la Universidad de Barcelona y con la colaboración de distintas instituciones. El proyecto tiene como objetivo recoger observaciones de impactos de riesgos naturales, como inundaciones, buenas prácticas de adaptación y malas prácticas o zonas vulnerables. Para facilitar la participación se ha desarrollado una aplicación para dispositivos móviles Android y IOS en castellano, francés, catalán e inglés (próximamente también en vasco). Contribuir al proyecto es muy sencillo y rápido y está al alcance de cualquier persona que tenga un dispositivo móvil siempre con precaución y sin ponerse en riesgo al tomar la fotografía. Los usuarios registrados pueden subir observaciones mediante un breve formulario. En este formulario se incluyen cuestiones relacionadas con las observaciones, su relación con el cambio climático y la aceptabilidad de las medidas de adaptación. Las observaciones, una vez subidas a la red por el usuario, son validadas por el equipo del proyecto. Las observaciones subidas se pueden consultar en el mapa del proyecto. En la App también se pueden consultar recursos educativos. El proyecto se complementa con talleres participativos y actividades educativas. La información recopilada se utiliza en las investigaciones que realiza el grupo como la reconstrucción de eventos pasados. A través de las encuestas y los grupos de trabajo se analiza la percepción y nivel de resiliencia de las comunidades.
","Es un proyecto de ciencia ciudadana que tiene como objetivo explorar y recopilar los principales impactos de los riesgos naturales y del cambio climático, aspectos a mejorar y cómo las comunidades se adaptan. Disponer de información detallada nos permite entender mejor los impactos de los episodios y extraer aprendizajes para disminuir estos impactos en situaciones futuras. También nos permite conocer los fenómenos que se producen en un episodio: esta información es útil para poder validar los modelos meteorológicos y las herramientas de seguimiento y vigilancia.","Es un proyecto de ciencia ciudadana que tiene como objetivo explorar y recopilar los principales impactos de los riesgos naturales y del cambio climático, aspectos a mejorar y cómo las comunidades se adaptan. Disponer de información detallada nos permite entender mejor los impactos de los episodios y extraer aprendizajes para disminuir estos impactos en situaciones futuras. También nos permite conocer los fenómenos que se producen en un episodio: esta información es útil para poder validar los modelos meteorológicos y las herramientas de seguimiento y vigilancia.FLOODUP es un proyecto de ciencia ciudadana para mejorar el conocimiento sobre el impacto de las inundaciones desarrollado con el apoyo de la Fundación española para la Ciencia y la Tecnología (FECYT- Ministerio de Ciencia e Innovación) en el marco del proyecto AQUELOO (FCT-18-13408), los proyectos PIRAGUA (Interreg POCTEFA-EFA210/16) y AGORA (ACA210/18/00009), impulsado desde la Universidad de Barcelona y con la colaboración de distintas instituciones. El proyecto tiene como objetivo recoger observaciones de impactos de riesgos naturales, como inundaciones, buenas prácticas de adaptación y malas prácticas o zonas vulnerables. Para facilitar la participación se ha desarrollado una aplicación para dispositivos móviles Android y IOS en castellano, francés, catalán e inglés (próximamente también en vasco). Contribuir al proyecto es muy sencillo y rápido y está al alcance de cualquier persona que tenga un dispositivo móvil siempre con precaución y sin ponerse en riesgo al tomar la fotografía. Los usuarios registrados pueden subir observaciones mediante un breve formulario. En este formulario se incluyen cuestiones relacionadas con las observaciones, su relación con el cambio climático y la aceptabilidad de las medidas de adaptación. Las observaciones, una vez subidas a la red por el usuario, son validadas por el equipo del proyecto. Las observaciones subidas se pueden consultar en el mapa del proyecto. En la App también se pueden consultar recursos educativos. El proyecto se complementa con talleres participativos y actividades educativas. La información recopilada se utiliza en las investigaciones que realiza el grupo como la reconstrucción de eventos pasados. A través de las encuestas y los grupos de trabajo se analiza la percepción y nivel de resiliencia de las comunidades.
",Observatorio de la Ciencia Ciudadana en España,https://ciencia-ciudadana.es/proyecto-cc/
CoActuamos para la Salud Mental,https://ciencia-ciudadana.es/proyecto-cc/coactuamos-para-la-salud-mental/,"Ciencias Sociales, Física, Informática y Ciencias de la Computación","Dentro del marco de la ciencia ciudadana, la propuesta de investigación con la cooperación ciudadana se fundamenta en el mutuo reconocimiento de la diversidad y complementariedad de los diversos agentes del ámbito de la salud mental y en su potencial de trabajo colaborativo en plan de igualdad. El proceso busca hacer visible la amplia comunidad de personas e instituciones que participan del ámbito de la Salud Mental (Entorno de Conocimiento) y situar en su centro a las personas con experiencia propia en salud mental y sus entornos familiares (Co-investigadoras). El Entorno de Conocimiento, con su bagaje, enmarca, hace seguimiento y ayuda en la investigación de las personas co-investigadoras. Organizadas en varios grupos cooperativos, estas personas se convierten en co-investigadoras, siendo el centro y el motor de la investigación, al tiempo que co-actoras en las redes de apoyo social. El resultado de la interacción y el trabajo de los grupos cooperativos y la ciudadanía permitirá construir una conversación digital (chatbot) que aportará el conocimiento necesario para legitimar las propuestas que las personas con experiencia propia sitúan en el centro de la investigación desde el momento inicial.
","CoActuamos para la Salud Mental quiere reforzar las redes de apoyo social en salud mental a través de una investigación participativa y participada, dentro de la llamada ciencia ciudadana social.","CoActuamos para la Salud Mental quiere reforzar las redes de apoyo social en salud mental a través de una investigación participativa y participada, dentro de la llamada ciencia ciudadana social.Dentro del marco de la ciencia ciudadana, la propuesta de investigación con la cooperación ciudadana se fundamenta en el mutuo reconocimiento de la diversidad y complementariedad de los diversos agentes del ámbito de la salud mental y en su potencial de trabajo colaborativo en plan de igualdad. El proceso busca hacer visible la amplia comunidad de personas e instituciones que participan del ámbito de la Salud Mental (Entorno de Conocimiento) y situar en su centro a las personas con experiencia propia en salud mental y sus entornos familiares (Co-investigadoras). El Entorno de Conocimiento, con su bagaje, enmarca, hace seguimiento y ayuda en la investigación de las personas co-investigadoras. Organizadas en varios grupos cooperativos, estas personas se convierten en co-investigadoras, siendo el centro y el motor de la investigación, al tiempo que co-actoras en las redes de apoyo social. El resultado de la interacción y el trabajo de los grupos cooperativos y la ciudadanía permitirá construir una conversación digital (chatbot) que aportará el conocimiento necesario para legitimar las propuestas que las personas con experiencia propia sitúan en el centro de la investigación desde el momento inicial.
",Observatorio de la Ciencia Ciudadana en España,https://ciencia-ciudadana.es/proyecto-cc/
CoAct (Co-designing Citizen Social Science for Collective Action)/ Co-diseñando la Ciencia Ciudadana Social para la Acción Colectiva,https://ciencia-ciudadana.es/proyecto-cc/coact-co-designing-citizen-social-science-for-collective-action-co-disenando-la-ciencia-ciudadana-social-para-la-accion-colectiva/,"Ciencias Sociales, Informática y Ciencias de la Computación, Medicina y Salud","Trabajaremos simultáneamente con organizaciones de la sociedad civil en una amplia escala geográfica (España, Austria, Alemania, países de Europa del Este, Paneuropeo y Argentina), abordando cuatro temas sociales: Atención en Salud Mental, Empleo Juvenil, Justicia Ambiental e Igualdad de Género.
","CoAct es un proyecto financiado por el programa Horizonte 2020 de la Unión Europea. CoAct propone una nueva comprensión de la Ciencia Ciudadana Social como investigación participativa co-diseñada e impulsada directamente por grupos de ciudadanos que comparten una preocupación social, en la que se convierten en co-investigadores en procesos comúnmente dominados por investigadores académicos. CoAct tiene como objetivo reunir y desarrollar métodos para dar a los grupos de ciudadanos un ""asiento en la mesa"" en igualdad de condiciones mediante la participación activa en la investigación, desde el diseño hasta la interpretación de los resultados y su transformación en acciones concretas.","CoAct es un proyecto financiado por el programa Horizonte 2020 de la Unión Europea. CoAct propone una nueva comprensión de la Ciencia Ciudadana Social como investigación participativa co-diseñada e impulsada directamente por grupos de ciudadanos que comparten una preocupación social, en la que se convierten en co-investigadores en procesos comúnmente dominados por investigadores académicos. CoAct tiene como objetivo reunir y desarrollar métodos para dar a los grupos de ciudadanos un ""asiento en la mesa"" en igualdad de condiciones mediante la participación activa en la investigación, desde el diseño hasta la interpretación de los resultados y su transformación en acciones concretas.Trabajaremos simultáneamente con organizaciones de la sociedad civil en una amplia escala geográfica (España, Austria, Alemania, países de Europa del Este, Paneuropeo y Argentina), abordando cuatro temas sociales: Atención en Salud Mental, Empleo Juvenil, Justicia Ambiental e Igualdad de Género.
",Observatorio de la Ciencia Ciudadana en España,https://ciencia-ciudadana.es/proyecto-cc/
Cities-Health,https://ciencia-ciudadana.es/proyecto-cc/cities-health/,"Medicina y Salud, Sonido","El proyecto, de tres años de duración, financiado por la Comisión Europea, pretende desarrollar 5 proyectos piloto de ciencia ciudadana sobre condicionantes ambientales y salud y generar un toolkit para que cualquier persona pueda crear su propio proyecto de ciencia ciudadana.
",Desarrollar 5 proyectos piloto de ciencia ciudadana sobre condicionantes ambientales y salud desde cero con la máxima participación de la ciudadanía y crear un toolkit para la creación de proyectos de ciencia ciudadana.,"Desarrollar 5 proyectos piloto de ciencia ciudadana sobre condicionantes ambientales y salud desde cero con la máxima participación de la ciudadanía y crear un toolkit para la creación de proyectos de ciencia ciudadana.El proyecto, de tres años de duración, financiado por la Comisión Europea, pretende desarrollar 5 proyectos piloto de ciencia ciudadana sobre condicionantes ambientales y salud y generar un toolkit para que cualquier persona pueda crear su propio proyecto de ciencia ciudadana.
",Observatorio de la Ciencia Ciudadana en España,https://ciencia-ciudadana.es/proyecto-cc/
MelanogasterCTF – Red Europea en Genómica de la Adaptación,https://ciencia-ciudadana.es/proyecto-cc/melanogasterctf-red-europea-en-genomica-de-la-adaptacion/,"Biodiversidad, Biología, Ecología y Medioambiente, Educación, Genética, Geología y Ciencias de la Tierra, Gestión de Recursos Naturales, Informática y Ciencias de la Computación, Insectos y Polinizadores, Naturaleza y Aire Libre, Seguimiento de Especies a largo plazo","#MelanogasterCTF ha ido creciendo desde su inicio en 2016 con dos escuelas españolas, en Baza y Tomelloso, hasta las actuales 14 escuelas participantes en 6 comunidades autónomas diferentes (Andalucía, Aragón, Castilla-La Mancha, Cataluña, Navarra y Comunidad Valenciana). En la pasada edición 2019 se incorporó también la escuela alemana Justus von Liebig, en el municipio de Waldshut-Tiengen (Baden-Wurtenberg), en plena Selva Negra. En futuras ediciones, se estudia la incorporación de nuevas escuelas en Europa y el resto del mundo. Los estudiantes de estas escuelas recogen («colectan») muestras biológicas de Drosophila (mosca de la fruta) en campos de árboles frutales cercanos a sus centros educativos, las clasificación y las preparan para su posterior análisis científico, que incluye la secuenciación* de su ADN* y el análisis bioinformático* de estas secuencias.
","“Citizen Fly Lab de #MelanogasterCTF” divulga e investiga la genómica de la adaptación para entender cómo los organismos se adaptan al ambiente. Este tema de in-vestigación de frontera tiene implicaciones de gran alcance en los retos actuales de nuestra sociedad global, incluyendo la crisis climática o infecciones como COVID-19.","“Citizen Fly Lab de #MelanogasterCTF” divulga e investiga la genómica de la adaptación para entender cómo los organismos se adaptan al ambiente. Este tema de in-vestigación de frontera tiene implicaciones de gran alcance en los retos actuales de nuestra sociedad global, incluyendo la crisis climática o infecciones como COVID-19.#MelanogasterCTF ha ido creciendo desde su inicio en 2016 con dos escuelas españolas, en Baza y Tomelloso, hasta las actuales 14 escuelas participantes en 6 comunidades autónomas diferentes (Andalucía, Aragón, Castilla-La Mancha, Cataluña, Navarra y Comunidad Valenciana). En la pasada edición 2019 se incorporó también la escuela alemana Justus von Liebig, en el municipio de Waldshut-Tiengen (Baden-Wurtenberg), en plena Selva Negra. En futuras ediciones, se estudia la incorporación de nuevas escuelas en Europa y el resto del mundo. Los estudiantes de estas escuelas recogen («colectan») muestras biológicas de Drosophila (mosca de la fruta) en campos de árboles frutales cercanos a sus centros educativos, las clasificación y las preparan para su posterior análisis científico, que incluye la secuenciación* de su ADN* y el análisis bioinformático* de estas secuencias.
",Observatorio de la Ciencia Ciudadana en España,https://ciencia-ciudadana.es/proyecto-cc/
EnviroCitizen,https://ciencia-ciudadana.es/proyecto-cc/envirocitizen/,"Animales, Ecología y Medioambiente, Educación, Naturaleza y Aire Libre, Pájaros","Con el objetivo de que la ciencia ciudadana adquiera un papel más relevante en la investigación y la innovación, se propone un enfoque nuevo dentro de la iniciativa europea SwafS, “Ciencia con y para la sociedad” guiado por la siguiente pregunta: ¿de qué manera el compromiso ciudadano con la investigación y la innovación puede mejorar a la ciudadanía?
Hasta la fecha la mayoría de proyectos han situado el análisis de la calidad científica de las actividades de ciencia ciudadana por encima de la importancia que tiene lo “ciudadano” en dicha expresión. EnviroCitizen parte de la premisa de que el potencial social de la ciencia ciudadana se extiende hasta la raíz misma de lo que significa ser un ciudadano de este planeta. Queremos entender las formas en las que se han usado hasta la fecha las actividades de ciencia ciudadana y cómo se pueden usar en el futuro para cultivar una ciudadanía ambiental. Esto implica nuevas maneras de pensar y de actuar en todos los aspectos de la vida para promover la sostenibilidad ambiental. Creemos que tal compromiso con la ciudadanía es de vital importancia de cara a poder recomendar buenas prácticas de cocreación y codiseño. Prevemos además muchas oportunidades de sinergia con otros proyectos SwafS de Ciencia Ciudadana encaminados a este fin.
El proyecto EnviroCitizen tiene como objetivo descubrir los procesos a través de los cuales los científicos ciudadanos pueden cultivar su ciudadanía ambiental.
Se ha decidido estudiar las actividades de seguimiento de aves porque tienen un gran potencial para desarrollar la ciudadanía ambiental.
EnviroCitizen se propone:
(1)	Analizar la evolución de la implicación ciudadana en actividades de ciencia ciudadana sobre seguimiento de aves.
(2)	Evaluar la manera en que los ciudadanos adquieren destrezas características de la ciudadanía ambiental y las ponen en práctica a través de actividades de ciencia ciudadana sobre seguimiento de aves.
(3)	Desarrollar intervenciones comunitarias innovadoras diseñadas para enriquecer programas de ciencia ciudadana sobre seguimiento de aves existentes con el fin de cultivar la ciudadanía ambiental en el futuro.
Se ha logrado la colaboración de organizaciones ornitológicas sin ánimo de lucro como grupos de apoyo externos al proyecto con el fin de facilitar las tareas de investigación así como para conseguir un mayor impacto.
El proyecto comenzó el 1 de abril de 2020.
",Proyecto de investigación europeo para estudiar el impacto que el seguimiento de aves desde casa tiene para cultivar el compromiso con el medio ambiente,"Proyecto de investigación europeo para estudiar el impacto que el seguimiento de aves desde casa tiene para cultivar el compromiso con el medio ambienteCon el objetivo de que la ciencia ciudadana adquiera un papel más relevante en la investigación y la innovación, se propone un enfoque nuevo dentro de la iniciativa europea SwafS, “Ciencia con y para la sociedad” guiado por la siguiente pregunta: ¿de qué manera el compromiso ciudadano con la investigación y la innovación puede mejorar a la ciudadanía?
Hasta la fecha la mayoría de proyectos han situado el análisis de la calidad científica de las actividades de ciencia ciudadana por encima de la importancia que tiene lo “ciudadano” en dicha expresión. EnviroCitizen parte de la premisa de que el potencial social de la ciencia ciudadana se extiende hasta la raíz misma de lo que significa ser un ciudadano de este planeta. Queremos entender las formas en las que se han usado hasta la fecha las actividades de ciencia ciudadana y cómo se pueden usar en el futuro para cultivar una ciudadanía ambiental. Esto implica nuevas maneras de pensar y de actuar en todos los aspectos de la vida para promover la sostenibilidad ambiental. Creemos que tal compromiso con la ciudadanía es de vital importancia de cara a poder recomendar buenas prácticas de cocreación y codiseño. Prevemos además muchas oportunidades de sinergia con otros proyectos SwafS de Ciencia Ciudadana encaminados a este fin.
El proyecto EnviroCitizen tiene como objetivo descubrir los procesos a través de los cuales los científicos ciudadanos pueden cultivar su ciudadanía ambiental.
Se ha decidido estudiar las actividades de seguimiento de aves porque tienen un gran potencial para desarrollar la ciudadanía ambiental.
EnviroCitizen se propone:
(1)	Analizar la evolución de la implicación ciudadana en actividades de ciencia ciudadana sobre seguimiento de aves.
(2)	Evaluar la manera en que los ciudadanos adquieren destrezas características de la ciudadanía ambiental y las ponen en práctica a través de actividades de ciencia ciudadana sobre seguimiento de aves.
(3)	Desarrollar intervenciones comunitarias innovadoras diseñadas para enriquecer programas de ciencia ciudadana sobre seguimiento de aves existentes con el fin de cultivar la ciudadanía ambiental en el futuro.
Se ha logrado la colaboración de organizaciones ornitológicas sin ánimo de lucro como grupos de apoyo externos al proyecto con el fin de facilitar las tareas de investigación así como para conseguir un mayor impacto.
El proyecto comenzó el 1 de abril de 2020.
",Observatorio de la Ciencia Ciudadana en España,https://ciencia-ciudadana.es/proyecto-cc/
Cos4Cloud,https://ciencia-ciudadana.es/proyecto-cc/cos4cloud/,"Biodiversidad, Ecología y Medioambiente, Informática y Ciencias de la Computación","El objetivo de Cos4Cloud es mejorar la tecnología de los observatorios ciudadanos, de manera que aumente la cantidad y la calidad de las observaciones que reciben y, finalmente, contribuir a su viabilidad a largo plazo.
Cos4cloud está trabajando en diez servicios tecnológicos que pondrá  a disposición de toda la comunidad en la nueva “Nube Europea de Ciencia Abierta” (EOSC en sus siglas en inglés), un espacio virtual dirigido al personal científico europeo.
Cos4Cloud cuenta con la participación de una red de proyectos de ciencia ciudadana enfocados en biodiversidad y medioambiente. Estas plataformas serán las encargadas de evaluar con sus usuarios los diferentes servicios. En la primera parte del proyecto colaborarán cuatro de los mayores observatorios ciudadanos de biodiversidad en Europa: Natusfera, iSpot, PlantNet y Artportalen. En la segunda parte, los servicios se probarán en plataformas enfocadas al monitoreo ambiental en el agua (Freshwater Watch y KdUINO), de olores en la ciudad (OdourCollect), en el aire (CanAir.io) y de aerosoles (iSpex).
",Cos4Cloud es un proyecto europeo para mejorar la tecnología de la ciencia ciudadana. Se financia con el programa europeo Horizon 2020 y lo coordina el ICM-CSIC.,"Cos4Cloud es un proyecto europeo para mejorar la tecnología de la ciencia ciudadana. Se financia con el programa europeo Horizon 2020 y lo coordina el ICM-CSIC.El objetivo de Cos4Cloud es mejorar la tecnología de los observatorios ciudadanos, de manera que aumente la cantidad y la calidad de las observaciones que reciben y, finalmente, contribuir a su viabilidad a largo plazo.
Cos4cloud está trabajando en diez servicios tecnológicos que pondrá  a disposición de toda la comunidad en la nueva “Nube Europea de Ciencia Abierta” (EOSC en sus siglas en inglés), un espacio virtual dirigido al personal científico europeo.
Cos4Cloud cuenta con la participación de una red de proyectos de ciencia ciudadana enfocados en biodiversidad y medioambiente. Estas plataformas serán las encargadas de evaluar con sus usuarios los diferentes servicios. En la primera parte del proyecto colaborarán cuatro de los mayores observatorios ciudadanos de biodiversidad en Europa: Natusfera, iSpot, PlantNet y Artportalen. En la segunda parte, los servicios se probarán en plataformas enfocadas al monitoreo ambiental en el agua (Freshwater Watch y KdUINO), de olores en la ciudad (OdourCollect), en el aire (CanAir.io) y de aerosoles (iSpex).
",Observatorio de la Ciencia Ciudadana en España,https://ciencia-ciudadana.es/proyecto-cc/
Desafío Bajo Zero,https://ciencia-ciudadana.es/proyecto-cc/desafio-bajo-zero/,"Clima y Meteorología, Educación, Geografía, Geología y Ciencias de la Tierra, Informática y Ciencias de la Computación","Las misiones diseñadas por los participantes se realizarán en la base militar Gabriel de Castilla, ubicada en la Isla Decepción. Solo hay que realizar la inscripción en http://desafiobajozero.com/ y proponer como actividad una misión científica o el vuelo de dron, o ambas. Las misiones de los 20 equipos seleccionados serán ejecutadas por los miembros de la expedición antártica durante los primeros meses de 2021, gracias a la colaboración del Ejército de Tierra.
",DesafíoBajoZero quiere dar la oportunidad a alumnos y alumnas de entre 14 y 20 años de realizar investigaciones científicas en un lugar tan interesante y recóndito como es la Antártida.,"DesafíoBajoZero quiere dar la oportunidad a alumnos y alumnas de entre 14 y 20 años de realizar investigaciones científicas en un lugar tan interesante y recóndito como es la Antártida.Las misiones diseñadas por los participantes se realizarán en la base militar Gabriel de Castilla, ubicada en la Isla Decepción. Solo hay que realizar la inscripción en http://desafiobajozero.com/ y proponer como actividad una misión científica o el vuelo de dron, o ambas. Las misiones de los 20 equipos seleccionados serán ejecutadas por los miembros de la expedición antártica durante los primeros meses de 2021, gracias a la colaboración del Ejército de Tierra.
",Observatorio de la Ciencia Ciudadana en España,https://ciencia-ciudadana.es/proyecto-cc/
Vigilantes del Aire,https://ciencia-ciudadana.es/proyecto-cc/vigilantes-del-aire/,"Biodiversidad, Ecología y Medioambiente, Océanos, Agua, Marino y Terrestre","Evaluar la calidad del aire en distintas ciudades españolas analizando la señal magnética de plantas de fresa que han sido previamente repartidas entre la población para estar expuestas durante varios meses al entorno y poder así evaluar las diferencias espaciales entre ciudades y dentro de las mismas
","Involucrar a la población en el monitoreo de la calidad del aire, lo que posibilita el tener una amplia red de monitoreo que complemente a las clásicas estaciones de medición de la calidad del aire","Involucrar a la población en el monitoreo de la calidad del aire, lo que posibilita el tener una amplia red de monitoreo que complemente a las clásicas estaciones de medición de la calidad del aireEvaluar la calidad del aire en distintas ciudades españolas analizando la señal magnética de plantas de fresa que han sido previamente repartidas entre la población para estar expuestas durante varios meses al entorno y poder así evaluar las diferencias espaciales entre ciudades y dentro de las mismas
",Observatorio de la Ciencia Ciudadana en España,https://ciencia-ciudadana.es/proyecto-cc/
URBAMAR – Anèl·lides,https://ciencia-ciudadana.es/proyecto-cc/urbamar-anel%c2%b7lides/,"Animales, Biodiversidad, Biología, Educación, Naturaleza y Aire Libre, Océanos, Agua, Marino y Terrestre","Mediante sesiones de esnórquel y submarinismo se fotografían todos los organismos avistados en las playas y litoral de Barcelona, Sant Adrià del Besós y Badalona mediante la participación de los ciudadanos, para así determinar la absencia y presencia de especies y de este modo poder publicar la primera guía fotográfica del Barcelonés, con las fotografías de los participantes.
","El objetivo principal del proyecto es promover la ciencia ciudadana y poner en valor los recursos naturales litorales del Área Metropolitana del Barcelonés, detectando las especies marinas y litorales presentes en sus playas.","El objetivo principal del proyecto es promover la ciencia ciudadana y poner en valor los recursos naturales litorales del Área Metropolitana del Barcelonés, detectando las especies marinas y litorales presentes en sus playas.Mediante sesiones de esnórquel y submarinismo se fotografían todos los organismos avistados en las playas y litoral de Barcelona, Sant Adrià del Besós y Badalona mediante la participación de los ciudadanos, para así determinar la absencia y presencia de especies y de este modo poder publicar la primera guía fotográfica del Barcelonés, con las fotografías de los participantes.
",Observatorio de la Ciencia Ciudadana en España,https://ciencia-ciudadana.es/proyecto-cc/
GEOVACUI,https://ciencia-ciudadana.es/proyecto-cc/geovacui/,"Ciencias Sociales, Geografía","En la portada de la web podéis ver la presentación y la infografía de las fases del proyecto https://www.ucm.es/geovacui/
","Geovacui ahonda en las causas y las consecuencias del dramático vaciamiento de los pueblos de amplias áreas del interior de España bajo un enfoque geográfico, integrador de los condicionantes físicos y las problemáticas sociales y económicas que afectan a sus habitantes y propone a los gestores públicos recomendaciones para resolver el problema aportando la visión de los residentes.","Geovacui ahonda en las causas y las consecuencias del dramático vaciamiento de los pueblos de amplias áreas del interior de España bajo un enfoque geográfico, integrador de los condicionantes físicos y las problemáticas sociales y económicas que afectan a sus habitantes y propone a los gestores públicos recomendaciones para resolver el problema aportando la visión de los residentes.En la portada de la web podéis ver la presentación y la infografía de las fases del proyecto https://www.ucm.es/geovacui/
",Observatorio de la Ciencia Ciudadana en España,https://ciencia-ciudadana.es/proyecto-cc/
Retorno al Mar,https://ciencia-ciudadana.es/proyecto-cc/retorno-al-mar/,"Biodiversidad, Naturaleza y Aire Libre, Océanos, Agua, Marino y Terrestre","La campaña Retorno al Mar es una iniciativa implusada por el proyecto Cos4Cloud, el Instituto de Ciencias del Mar (ICM-CSIC), la empresa Anèl·lides – Serveis ambientals marins, la asociación medioambiental Xatrac y tres centros de submarinismo: Oceanicos, Escafandra Calafell y Plàncton Diving. El objetivo de la iniciativa es recoger el máximo de observaciones de biodiversidad marina en la costa durante los meses de julio, agosto y septiembre de 2020.
","#RetornoAlMar anima a la ciudadanía a (re)conectar con la naturaleza tras los meses de confinamiento, a descubrir una gran variedad de especies marinas y compartirlas con otras personas.","#RetornoAlMar anima a la ciudadanía a (re)conectar con la naturaleza tras los meses de confinamiento, a descubrir una gran variedad de especies marinas y compartirlas con otras personas.La campaña Retorno al Mar es una iniciativa implusada por el proyecto Cos4Cloud, el Instituto de Ciencias del Mar (ICM-CSIC), la empresa Anèl·lides – Serveis ambientals marins, la asociación medioambiental Xatrac y tres centros de submarinismo: Oceanicos, Escafandra Calafell y Plàncton Diving. El objetivo de la iniciativa es recoger el máximo de observaciones de biodiversidad marina en la costa durante los meses de julio, agosto y septiembre de 2020.
",Observatorio de la Ciencia Ciudadana en España,https://ciencia-ciudadana.es/proyecto-cc/
