Project Name,Project Link,Objective,Principal Scientist,Scientist Affiliation,Dates,Location,Project Type,Cost,Grade Level,Time Commitment,How To Join,Description,Citizen Science Web Name,Citizen Science Web Link
Wisconsin Wildlife Watch,https://www.scientificamerican.com/citizen-science/wisconsin-wildlife-watch/,"Journey into the Midwestern forests of America’s Dairyland in search of deer and elk, bears and hares",N/A,University of Wisconsin,Ongoing,Wisconsin - ,Data Processing,Free,All Ages,Variable,"Whether you love wildlife, citizen science, or just helping out, join the Wisconsin Wildlife Watch team and discover the hidden world of Wisconsin’s animals.","Wisconsin Wildlife Watch lets citizen scientists explore never-before-seen camera trap photos of wild animals. Working alongside a University of Wisconsin-Madison science team, citizen scientists take part in valuable ecological research and help ecologists better understand the trends, distribution and ecosystems of deer, elk, bears and hares. Wisconsin Wildlife Watch is an effort to monitor forest wildlife year-round across a network of trail cameras. Help identify the animals captured on camera and better understand the distribution and trends of wildlife populations. There are more than 40 species to search for, and thousands of photos to dive into.Over the course of a month, a single camera might take thousands of photographs. Classifying these images is a herculean task way beyond the capacity of a handful of scientists. Citizen scientists help to make all these photographs meaningful by classifying the type and number of animals in the image and directly help in the conservation of Wisconsin’s great landscapes and wildlife. Using this information, researchers can create maps for both common and rare species across the state and study how animal populations change through time.An ultimate goal of Wisconsin Wildlife Watch is to map where animals are most likely to be in relation to different habitats or seasons, and predict future changes in animal distribution. But camera images can inform far more than where species or individuals are located. Because images are time-stamped, scientists can study how animal behaviors differ across seasons, and how populations respond to seasonal changes.",Scientific American,https://www.scientificamerican.com/citizen-science/
Smorball,https://www.scientificamerican.com/citizen-science/smorball/,Engage in “purposeful gaming” by helping digitize scanned books and journals while duking it out against robots on a browser-based gridiron,"Mary Flanagan, Tiltfactor Founding Director",Dartmouth College,Ongoing,,Data Processing,Free,All Ages,Variable,Visit the Smorball site and follow the instructions.,"Smorball tackles a major challenge for digital libraries: poor output from Optical Character Recognition (OCR) software significantly hampers full-text searching of digitized material. When first scanned, the pages of digitized books and journals are merely image files, making the pages unsearchable and virtually unusable. While OCR converts page images to searchable, machine encoded text, historic literature is difficult for OCR to accurately render because of its tendency to have varying fonts, typesetting and layouts.This educational game enables citizen scientists to engage in “purposeful gaming” by playing Smorball, which asks players to correctly type the words they see on the screen—punctuation and all. Smorball presents players with phrases from scanned pages from cultural heritage institutions. After much verification, the words players type are sent to the libraries that store the corresponding pages, allowing those pages to be searched and data mined and ultimately making historic literature more usable for institutions, scholars, educators and the public.Dartmouth College’s Tiltfactor, an interdisciplinary studio that designs and studies games for social impact, developed Smorball. Smorball is part of the “Purposeful Gaming and BHL Project,” which explores how digital games can make scanned content more accessible and searchable for cultural institutions. Based at the Missouri Botanical Garden in St. Louis, Mo., “Purposeful Gaming” was established in 2013 through an Institute of Museum and Library Services (IMLS) grant and includes partners from Harvard University, Cornell University and the New York Botanical Garden.",Scientific American,https://www.scientificamerican.com/citizen-science/
Zooniverse: Shakespeare's World,https://www.scientificamerican.com/citizen-science/zooniverse-shakespeare-s-world/,Transcribe handwritten documents by Shakespeare’s contemporaries to help researchers understand his life and times,N/A,"Folger Shakespeare Library, Zooniverse.org, Oxford English Dictionary",Ongoing,,Data Processing,Free,All Ages,Variable,Sign in or sign up through Zooniverse.,"Shakespeare’s World project is a collaboration between the Folger Shakespeare Library in Washington, D.C., Zooniverse.org at Oxford University, and the Oxford English Dictionary of Oxford University Press. Project organizers invite citizen scientists to transcribe manuscripts created by thousands of men and women in and around Shakespeare’s lifetime, 1564–1616. On the 400th anniversary of the Bard’s death, researchers seek to broaden their understanding of the period in which he and his contemporaries lived.Citizen scientists can learn about the period by transcribing letters and ‘receipt’ (recipe) books in the first phase of the project. Later project organizers will add miscellanies, family papers, legal and literary documents. Along the way volunteers will find words that have yet to be recorded in—and will eventually be added to—the authoritative Oxford English Dictionary.",Scientific American,https://www.scientificamerican.com/citizen-science/
Darwin's Dogs,https://www.scientificamerican.com/citizen-science/darwin-s-dogs/,Help researchers understand how dog DNA has changed throughout canine evolution,"Elinor Karlsson, Assistant Professor",University of Massachusetts Medical School,Ongoing,ALL - (U.S. only),Questionnaire,Free,All Ages,Variable,"Visit the Darwin’s Dogs site and sign up here. Once participants have signed in, they will be able to enroll in the survey project by clicking the big blue button on the front page.","Researchers at the University of Massachusetts Medical School are studying how the dog genome has changed as dogs evolved from wolves to beloved companions and work partners. If researchers can understand how genetic changes can lead to behavior differences—even for normal behaviors—they will have new insight into psychiatric and neurological diseases in dogs and people. The Darwin’s Dogs project combines new DNA sequencing technology, which provides genetic information from each dog, with new analysis methods that can control for diverse ancestry. By including all types of dogs, the goal is to do much larger studies, and home in quickly on the important genes and genetic variants.That’s where citizen scientists/dog owners come in. Researchers ask each owner 100 questions about their dog’s behavior and personality using short questionnaires on the Darwin’s Dogs site. Owners will also mail a saliva sample from their dog using a kit that the researchers provide. Researchers will study saliva samples from many dogs to look for differences in DNA connected to particular personality traits or behaviors. Results will be shared with participants.",Scientific American,https://www.scientificamerican.com/citizen-science/
Humpback Tails Wanted,https://www.scientificamerican.com/citizen-science/humpback-tails-wanted/,Help track the movements of humpback whales between their North Atlantic feeding grounds and their breeding grounds in the Wider Caribbean Region,Nathalie Ward,"NOAA, Stellwagen Bank National Marine Sanctuary",Ongoing,,Fieldwork,Free,All Ages,Variable,Visit the CARIB Tails Web site.,"CARIB Tails is enlisting yachters and cruisers to help track the movements of humpback whales between their North Atlantic feeding grounds and their breeding grounds in the Wider Caribbean Region. Citizen scientists have the opportunity to take on a special role to assist research, by photographing the distinct patterns on the tails of humpback whales in their Caribbean breeding grounds. All that is needed is a camera and knowledge of safe boating around whales.The information submitted will be used in mark-recapture studies (i.e. photo-identification) to help monitor the recovery of this endangered species. When new photographs of humpback tail flukes are received, they are matched against the 8,000+ photographs in the existing North Atlantic Humpback Whale Catalogue. These datacan reveal the milestones of an animal’s life. For example, photo ID helps unravel the structure of families and provides clues to population numbers. The study of a female whale over many years can reveal her age at first reproduction, the number of calves she bore, her age when she experienced reproductive decline, and ultimately her lifespan. This information helps advance understanding of marine mammal conservation and the vital need of habitat protection beyond national borders.Launched in January 2014, CARIB Tails is an international research collaboration between NOAA’s Stellwagen Bank National Marine Sanctuary and UNEP’s Caribbean Environment Programme.In the first year of the program, tail fluke analysissuggested that West Indies humpback whales comprise more than one breeding population, contrary to our current understanding.Yachter's contributions oftail fluke photographs,especially from the under-surveyed areas of the Eastern Caribbean, are critical for conservation efforts for our international travelers.",Scientific American,https://www.scientificamerican.com/citizen-science/
The Online Wisdom Lab (OWL),https://www.scientificamerican.com/citizen-science/the-online-wisdom-lab-owl/,"Help researchers study changes in thinking skills, decision making and health behavior during adulthood",Jane Raymond,"University of Birmingham, U.K.","Monday, October 26, 2015 - Tuesday, March 1, 2016",,Data Processing,Free,All Ages,Variable,OWL is a Web app that’s available through the project’s site (no need to go to Apple’s App Store or the Google Play Store). Follow the instructions there to 'pin' the app to your home screen.,"The Online Wisdom Lab (OWL) is a new suite of apps that will helpresearchersfrom theUniversity of Birminghamto learn about changes in thinking skills, decision making and health behavior during adulthood. The project is funded by the Economic and Social Research Council (ESRC).By completing surveys and games within the app, members of the public will be able to learn more about their own thinking and behavior, and help researchers to understand how these skills change throughout the lifespan.Download the app.",Scientific American,https://www.scientificamerican.com/citizen-science/
Send Us Your Skeletons [Australia],https://www.scientificamerican.com/citizen-science/send-us-your-skeletons-australia/,Play a key role in fishing research being conducted by Western Australia’s Department of Fisheries,N/A,Western Australia Department of Fisheries,Ongoing,ALL - Western Australia,Fieldwork,Free,All Ages,Variable,Visit the Send Us Your Skeletons Web page.,"Citizen scientists in Australia can help the Western Australia Department of Fisheries by donating fish skeletons to help long-term monitoring program of fish stocks. Also known as 'frames', filleted skeletons, with the heads and guts intact, are essential for researchers to be able to assess the status of local fish resources. By analyzing data from the frames researchers can make science-based decisions to sustainably manage fisheries. Further information can be found here and here.",Scientific American,https://www.scientificamerican.com/citizen-science/
Science Gossip [Zooniverse],https://www.scientificamerican.com/citizen-science/science-gossip-zooniverse/,Uncover the history of citizen science,Sally Shuttleworth,University of Oxford,Ongoing,,Data Processing,Free,All Ages,Variable,Visit the Science Gossip Web site and sign up for a Zooniverse account.,"In the Victorian period, just like today, scientists and members of the public worked together to further scientific discovery. Before computers and cameras they had to draw what they saw. Their drawings are locked away in the pages of Victorian periodicals, such as Science Gossip, Recreative Science and The Intellectual Observer. Help researchers classify their drawings and map the origins of citizen science.The publication of books and periodicals are key locations for visualizing knowledge about the natural world. The Biodiversity Heritage Library has digitized and catalogued millions of pages of printed text between the 1400's and today related to the investigation of the natural world. Illustrations are a large part of these printed pages, and we need your to help identify, classify and correlate them. The data you create by tagging illustrations and adding artist and engraver information will have a direct impact on the research of historians who are trying to figure out why, how often, and who made images depicting a whole range of natural sciences in the Victorian period.",Scientific American,https://www.scientificamerican.com/citizen-science/
Animal Ownership Interaction Study,https://www.scientificamerican.com/citizen-science/animal-ownership-interaction-study/,A study to establish once and for all how owner personality and psychological status affect a pet dog’s behavior,Nicholas Dodman,Tufts University Cummings School of Veterinary Medicine,Ongoing,,Fieldwork,Free,All Ages,Variable,"First Register with the Center for Canine Behavior Studies. After you are registered, read the Study Information and then provide your Consent to the terms of the study.","The Animal Ownership Interaction Study involves volunteer dog-owner participants and their canines of both pure and mixed breeds. A primary study objective is to follow adopted shelter dogs throughout their lives to gain further insight into the human-canine bond to help reduce relinquishment and return that can often lead to destruction of the dog. From the results of this study, investigators expect to be able to help owners understand the influence they are having on their pet’s behavior and to be able to modify their interactions with their dog in a positive way.In order to elucidate the positive and negative aspects of owners’ interaction with their dogs, investigators Nicholas Dodman and James Serpell propose the largest owner-dog personality-behavior study ever conducted with a view to establishing once and for all how owner personality and psychological status affects a pet’s behavior. From the results of this study, Dodman and Serpell expect to be able to help owners understand the influence they are having on their pet’s behavior and to be able to modify interactions with their dogs in a positive way.The study will also help predict which owner personality types are most compatible with a particular dog that they plan to adopt, thereby helping ensure a harmonious pairing, owner satisfaction, and the adopted dog thus having a home for life.",Scientific American,https://www.scientificamerican.com/citizen-science/
Track a Tree [U.K.],https://www.scientificamerican.com/citizen-science/track-a-tree-u-k/,"Track a Tree will provide insights into the seasonal timing of U.K. woodland species, and how future changes in climate may affect the interactions between trees and flowering plants",Christine Tansey,University of Edinburgh,Ongoing,ALL - United Kingdom,Fieldwork,Free,All Ages,Less than 1 hour per week,Register as a recorder via the online form.,"Track a Tree extends the seasonal observations of Nature’s Calendar, and participants will collect important new information on the phenology of woodland trees and flowering plants. These records will become part of a national network monitoring our woodlands over this and future springs.Four key features of Track a Tree make the project unique:It follows individual trees. This means we can find out how much trees are able to adjust their phenology from year to year as climate conditions vary. Scientists call this flexibility phenotypic plasticity.It follows randomly selected trees in woodland. This provides a range of dates when different species reach budburst or come into leaf, rather than just the very first events that happen in woodlands. Knowing how these dates vary within a location is important for understanding interactions between species.It follows interacting species. By observing the flowering of plants beneath individual trees, scientists can see whether these ground flora species are able to shift their phenology to keep up with changes in the timing of shading under climate change.It follows woodland communities. Through recording the phenology of UK woodland communities, we can find out how seasonal timing varies across some of our most important habitats.",Scientific American,https://www.scientificamerican.com/citizen-science/
Virginia Key Restoration,https://www.scientificamerican.com/citizen-science/virginia-key-restoration/,"Volunteer to help monitor habitat restoration on this 1,200-acre barrier island situated two miles east of downtown Miami and one mile southwest of Miami Beach","Fernando Bretos, Curator of Ecology and Director of MUVE",Patricia and Phillip Frost Museum of Science,Ongoing,Florida - ,Fieldwork,Free,All Ages,Variable,Sign up if you’d like to participate. ,"Virginia Key is a 1,200-acre barrier island situated two miles east of downtown Miami and one mile southwest of Miami Beach. It is located within a highly productive marine corridor consisting of extensive tracts of seagrass beds and coral reefs. Above water, Virginia Key is home to a wide range of coastal habitats including beach and dune, hardwood hammock and mangrove wetlands.The island has been the site of the deposition of dredging material from the Port of Miami since the 1970s, eliminating its beaches as a loggerhead turtle nesting habitat. Due to historical clearing of vegetation followed by neglect, invasive plants threatened the ecological integrity of Virginia Key.As part of the Museum Volunteers for the Environment (MUVE) and The Reclamation Project‘s eco-art initiative, parts of Virginia Key have been reforested with mangrove seedlings over the past five years. To date, 11,000 mangrove seedlings representing over eight acres of restored habitat have been replanted in Virginia Key by volunteers.Volunteers are now working to monitor the habitat restoration using citizen science. Each month, volunteers survey for birds, monitor growth of new vegetation on the dune, collect water quality data, and observe changes in the landscape. Sign up if you’d like to participate. ",Scientific American,https://www.scientificamerican.com/citizen-science/
Connecticut Turtle Atlas,https://www.scientificamerican.com/citizen-science/connecticut-turtle-atlas/,Help scientists track turtles statewide to better understand threats to their habitat,"Tim Walsh, Citizen Science Coordinator",Bruce Museum,Ongoing,Connecticut - ,Fieldwork,Free,All Ages,Variable,"Persons interested in participating in the Connecticut Turtle Atlas project should contact Tim Walsh, Bruce Museum Citizen Science Coordinator, at twalsh@brucemuseum.org or (203) 413-6767.","Turtles and tortoises are group of reptiles that can play key ecological roles, serving as both predators and prey, contributing to the cycling of nutrients, and acting as seed dispersers. However, with approximately 58 percent of the world’s 335 turtle species threatened with extinction, turtles are the most endangered vertebrate group in the world. For that reason the Bruce Museum in Greenwich, Conn., invites citizen scientists to help turtles with the launch of the Connecticut Turtle Atlas project.Connecticut is home to 12 native turtle species that inhabit the state’s woodlands, wetlands, and even the waters of Long Island Sound. Primary threats include habitat loss and traffic-related highway mortality. The Bruce Museum would like to assist in educating the public about turtles and their benefits to the ecology as well as provide actions citizen scientists can take to help them.The Connecticut Turtle Atlas project runs from April through November and will continue on an annual basis. Participants willcollect data on specific locations and abundance of all turtle species found throughout the state. These volunteer scientists will gather the data through the Web and a smartphone app. This information will be used to map distributions, identify important habitats, locate areas of nesting abundance, and detect roadways with high traffic-related mortality. In addition, there will be opportunities to assist with various aspects of turtle research and fieldwork.",Scientific American,https://www.scientificamerican.com/citizen-science/
